row_type,case_index,contribution_group,source,herb_id,adr_id,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,path_text,score_drop,masked_score,drop_class,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
aggregate,,component,,,,compound:1073,Compound #1073,unmapped_graph_id,compound,1073,,,,,,,4,4,2.07871e-05,2.83122e-05,0,4,0
aggregate,,component,,,,compound:1121,Compound #1121,unmapped_graph_id,compound,1121,,,,,,,1,1,1.07884e-05,1.07884e-05,0,1,0
aggregate,,component,,,,compound:745,Compound #745,unmapped_graph_id,compound,745,,,,,,,2,2,4.1127e-06,4.7684e-06,0,2,0
aggregate,,component,,,,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,,,,,5,5,-3.1948e-06,1.4305e-06,0,5,0
aggregate,,component,,,,compound:1243,Compound #1243,unmapped_graph_id,compound,1243,,,,,,,3,3,-3.9737e-06,1.4305e-06,0,3,0
aggregate,,component,,,,compound:132,Compound #132,unmapped_graph_id,compound,132,,,,,,,1,1,4.768e-07,4.768e-07,0,1,0
aggregate,,component,,,,compound:1257,Compound #1257,unmapped_graph_id,compound,1257,,,,,,,2,2,3.576e-07,3.576e-07,0,2,0
aggregate,,component,,,,compound:965,Compound #965,unmapped_graph_id,compound,965,,,,,,,3,3,1.987e-07,2.384e-07,0,3,0
aggregate,,component,,,,compound:435,Compound #435,unmapped_graph_id,compound,435,,,,,,,3,3,1.589e-07,2.384e-07,0,3,0
aggregate,,component,,,,compound:278,Compound #278,unmapped_graph_id,compound,278,,,,,,,2,2,-5.96e-08,0.0,0,2,0
aggregate,,component,,,,compound:876,Compound #876,unmapped_graph_id,compound,876,,,,,,,3,3,-7.95e-08,0.0,0,3,0
aggregate,,component,,,,compound:1019,Compound #1019,unmapped_graph_id,compound,1019,,,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,component,,,,compound:610,Compound #610,unmapped_graph_id,compound,610,,,,,,,2,2,-2.384e-07,-2.384e-07,0,2,0
aggregate,,component,,,,compound:699,Compound #699,unmapped_graph_id,compound,699,,,,,,,1,1,-2.384e-07,-2.384e-07,0,1,0
aggregate,,component,,,,compound:613,Compound #613,unmapped_graph_id,compound,613,,,,,,,3,3,-2.8809e-06,-2.3842e-06,0,3,0
aggregate,,component,,,,compound:1329,Compound #1329,unmapped_graph_id,compound,1329,,,,,,,1,1,-1.2517e-05,-1.2517e-05,0,1,0
aggregate,,component,,,,compound:443,Compound #443,unmapped_graph_id,compound,443,,,,,,,4,4,-4.10676e-05,-3.34382e-05,0,4,0
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:2,,,,,compound:1073;target:7213,Compound #1073;Target #7213,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #7213 ← Altered state of consciousness,1.75238e-05,0.9989537000656128,near_zero,,,,,,,
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:1,,,,,compound:1073;target:2586,Compound #1073;Target #2586,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #2586 ← Altered state of consciousness,1.45435e-05,0.9989566802978516,near_zero,,,,,,,
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:4,,,,,compound:965;target:7213,Compound #965;Target #7213,成分介导：野草莓（Fragaria vesca?L.） → Compound #965 → Target #7213 ← Altered state of consciousness,4.8876e-06,0.9989663362503052,near_zero,,,,,,,
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:3,,,,,compound:965;target:2586,Compound #965;Target #2586,成分介导：野草莓（Fragaria vesca?L.） → Compound #965 → Target #2586 ← Altered state of consciousness,2.0266e-06,0.9989691972732544,near_zero,,,,,,,
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:5,,,,,compound:1023;target:7213,Compound #1023;Target #7213,成分介导：野草莓（Fragaria vesca?L.） → Compound #1023 → Target #7213 ← Altered state of consciousness,1.9073e-06,0.998969316482544,near_zero,,,,,,,
case,1,pathway,pu_xmsat_global_unobserved_pairs,237,3989,path:6,,,,,compound:1023;target:6478,Compound #1023;Target #6478,成分介导：野草莓（Fragaria vesca?L.） → Compound #1023 → Target #6478 ← Altered state of consciousness,-1.4305e-06,0.9989726543426514,near_zero,,,,,,,
case,1,target,pu_xmsat_global_unobserved_pairs,237,3989,target:7213,Target #7213,unmapped_graph_id,target,7213,,,,4.7684e-06,0.9989664554595947,near_zero,,,,,,,
case,1,target,pu_xmsat_global_unobserved_pairs,237,3989,target:2586,Target #2586,unmapped_graph_id,target,2586,,,,1.9073e-06,0.998969316482544,near_zero,,,,,,,
case,1,target,pu_xmsat_global_unobserved_pairs,237,3989,target:6478,Target #6478,unmapped_graph_id,target,6478,,,,1.4305e-06,0.9989697933197021,near_zero,,,,,,,
case,1,component,pu_xmsat_global_unobserved_pairs,237,3989,compound:1073,Compound #1073,unmapped_graph_id,compound,1073,,,,1.26362e-05,0.9989585876464844,near_zero,,,,,,,
case,1,component,pu_xmsat_global_unobserved_pairs,237,3989,compound:965,Compound #965,unmapped_graph_id,compound,965,,,,1.192e-07,0.9989711046218872,near_zero,,,,,,,
case,1,component,pu_xmsat_global_unobserved_pairs,237,3989,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,,-2.861e-06,0.998974084854126,near_zero,,,,,,,
case,2,pathway,pu_xmsat_global_unobserved_pairs,237,2481,path:2,,,,,compound:1073;target:15692,Compound #1073;Target #15692,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #15692 ← Leukopenia,0.0001240373,0.9981738328933716,positive,,,,,,,
case,2,pathway,pu_xmsat_global_unobserved_pairs,237,2481,path:4,,,,,compound:965;target:15692,Compound #965;Target #15692,成分介导：野草莓（Fragaria vesca?L.） → Compound #965 → Target #15692 ← Leukopenia,0.0001021624,0.9981957077980042,positive,,,,,,,
case,2,pathway,pu_xmsat_global_unobserved_pairs,237,2481,path:5,,,,,compound:1023;target:1782,Compound #1023;Target #1782,成分介导：野草莓（Fragaria vesca?L.） → Compound #1023 → Target #1782 ← Leukopenia,9.7096e-05,0.9982007741928101,near_zero,,,,,,,
case,2,pathway,pu_xmsat_global_unobserved_pairs,237,2481,path:3,,,,,compound:1073;target:19382,Compound #1073;Target #19382,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #19382 ← Leukopenia,2.43783e-05,0.998273491859436,near_zero,,,,,,,
case,2,pathway,pu_xmsat_global_unobserved_pairs,237,2481,path:1,,,,,compound:132;target:2432,Compound #132;Target #2432,成分介导：野草莓（Fragaria vesca?L.） → Compound #132 → Target #2432 ← Leukopenia,6.1989e-06,0.9982916712760925,near_zero,,,,,,,
case,2,target,pu_xmsat_global_unobserved_pairs,237,2481,target:15692,Target #15692,unmapped_graph_id,target,15692,,,,0.0001020432,0.9981958270072937,positive,,,,,,,
case,2,target,pu_xmsat_global_unobserved_pairs,237,2481,target:1782,Target #1782,unmapped_graph_id,target,1782,,,,9.59039e-05,0.9982019662857056,near_zero,,,,,,,
case,2,target,pu_xmsat_global_unobserved_pairs,237,2481,target:2432,Target #2432,unmapped_graph_id,target,2432,,,,5.722e-06,0.9982921481132507,near_zero,,,,,,,
case,2,target,pu_xmsat_global_unobserved_pairs,237,2481,target:19382,Target #19382,unmapped_graph_id,target,19382,,,,4.4107e-06,0.9982934594154358,near_zero,,,,,,,
case,2,component,pu_xmsat_global_unobserved_pairs,237,2481,compound:1073,Compound #1073,unmapped_graph_id,compound,1073,,,,1.99676e-05,0.9982779026031494,near_zero,,,,,,,
case,2,component,pu_xmsat_global_unobserved_pairs,237,2481,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,,9.537e-07,0.9982969164848328,near_zero,,,,,,,
case,2,component,pu_xmsat_global_unobserved_pairs,237,2481,compound:132,Compound #132,unmapped_graph_id,compound,132,,,,4.768e-07,0.998297393321991,near_zero,,,,,,,
case,2,component,pu_xmsat_global_unobserved_pairs,237,2481,compound:965,Compound #965,unmapped_graph_id,compound,965,,,,2.384e-07,0.9982976317405701,near_zero,,,,,,,
case,3,pathway,pu_xmsat_global_unobserved_pairs,495,3989,path:1,,,,,compound:821;target:2586,Compound #821;Target #2586,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #2586 ← Altered state of consciousness,0.0002143979,0.9980296492576599,positive,,,,,,,
case,3,pathway,pu_xmsat_global_unobserved_pairs,495,3989,path:2,,,,,compound:821;target:1774,Compound #821;Target #1774,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #1774 ← Altered state of consciousness,0.0002136827,0.9980303645133972,positive,,,,,,,
case,3,target,pu_xmsat_global_unobserved_pairs,495,3989,target:2586,Target #2586,unmapped_graph_id,target,2586,,,,5.4836e-06,0.9982385635375977,near_zero,,,,,,,
case,3,target,pu_xmsat_global_unobserved_pairs,495,3989,target:1774,Target #1774,unmapped_graph_id,target,1774,,,,4.8876e-06,0.9982391595840454,near_zero,,,,,,,
case,3,component,pu_xmsat_global_unobserved_pairs,495,3989,compound:821,Compound #821,unmapped_graph_id,compound,821,,,,0.0002080798,0.9980359673500061,positive,,,,,,,
case,4,pathway,pu_xmsat_global_unobserved_pairs,237,24,path:1,,,,,compound:745;target:19336,Compound #745;Target #19336,成分介导：野草莓（Fragaria vesca?L.） → Compound #745 → Target #19336 ← Lymph node tenderness,3.4571e-06,0.9982383251190186,near_zero,,,,,,,
